Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-10-04,,1:00 PM,New Jersey Devils,4,Buffalo Sabres,1,Regulation,,,6.5,-101,-118,,,,,
2024-10-05,,10:00 AM,Buffalo Sabres,1,New Jersey Devils,3,Regulation,,,6.5,-105,-115,,,,,
2024-10-08,,7:00 PM,Boston Bruins,4,Florida Panthers,6,Regulation,,,5.5,-115,-104,,,,,
2024-10-08,,4:30 PM,St. Louis Blues,3,Seattle Kraken,2,Regulation,,,6,101,-119,,,,,
2024-10-08,,10:00 PM,Chicago Blackhawks,2,Utah Hockey Club,5,Regulation,,,6,-130,108,,,,,
2024-10-09,,10:00 PM,Winnipeg Jets,6,Edmonton Oilers,0,Regulation,,,6,-114,-104,,,,,
2024-10-09,,7:00 PM,Toronto Maple Leafs,0,Montreal Canadiens,1,Regulation,,,6.5,-118,-100,,,,,
2024-10-09,,7:30 PM,New York Rangers,6,Pittsburgh Penguins,0,Regulation,,,6,-111,-107,,,,,
2024-10-09,,10:00 PM,Calgary Flames,6,Vancouver Canucks,5,Regulation,,,6,-125,107,,,,,
2024-10-09,,10:00 PM,Colorado Avalanche,4,Vegas Golden Knights,8,Regulation,,,6.5,105,-125,,,,,
2024-10-10,,7:00 PM,Montreal Canadiens,4,Boston Bruins,6,Regulation,,,6,-106,-113,,,,,
2024-10-10,,7:00 PM,Los Angeles Kings,3,Buffalo Sabres,1,Regulation,,,6,-107,-112,,,,,
2024-10-10,,8:00 PM,Pittsburgh Penguins,6,Detroit Red Wings,3,Regulation,,,6.5,-124,106,,,,,
2024-10-10,,8:00 PM,Columbus Blue Jackets,2,Minnesota Wild,3,Regulation,,,6.5,-100,-120,,,,,
2024-10-10,,7:00 PM,Toronto Maple Leafs,4,New Jersey Devils,2,Regulation,,,6.5,-119,100,,,,,
2024-10-10,,8:00 PM,Dallas Stars,4,Nashville Predators,3,Regulation,,,6.5,-101,-118,,,,,
2024-10-10,,7:30 PM,Utah Hockey Club,5,New York Islanders,4,Regulation,,,5.5,-122,104,,,,,
2024-10-10,,7:00 PM,Florida Panthers,1,Ottawa Senators,3,Regulation,,,6,-120,101,,,,,
2024-10-10,,10:30 PM,St. Louis Blues,5,San Jose Sharks,4,Regulation,,,6,-106,-112,,,,,
2024-10-11,,7:00 PM,Tampa Bay Lightning,4,Carolina Hurricanes,1,Regulation,,,6,-120,102,,,,,
2024-10-11,,10:00 PM,Philadelphia Flyers,3,Vancouver Canucks,2,Regulation,,,6,-125,107,,,,,
2024-10-11,,10:00 PM,St. Louis Blues,3,Vegas Golden Knights,4,Regulation,,,6,-110,-110,,,,,
2024-10-11,,8:00 PM,Chicago Blackhawks,1,Winnipeg Jets,2,Regulation,,,6,-115,-105,,,,,
2024-10-12,,1:00 PM,Los Angeles Kings,1,Boston Bruins,2,Regulation,,,5.5,-127,110,,,,,
2024-10-12,,7:00 PM,Florida Panthers,2,Buffalo Sabres,5,Regulation,,,6,-103,-115,,,,,
