Date,Away_Abbr,Home_Abbr,Away_G,Home_G,Total,Eligible,Line,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-07,CHI,FLA,2,3,5,False,,,,,,,,False,,
2025-10-07,COL,LAK,4,1,5,False,,,,,,,,False,,
2025-10-07,PIT,NYR,3,0,3,False,,,,,,,,False,,
2025-10-08,CGY,EDM,4,3,7,False,,,,,,,,False,,
2025-10-08,MTL,TOR,2,5,7,False,,,,,,,,False,,
2025-10-08,LAK,VGK,6,5,11,False,,,,,,,,False,,
2025-10-08,BOS,WSH,3,1,4,False,,,,,,,,False,,
2025-10-09,CHI,BOS,3,4,7,False,,,,,,,,False,,
2025-10-09,NYR,BUF,4,0,4,False,,,,,,,,False,,
2025-10-09,NJD,CAR,3,6,9,False,,,,,,,,False,,
2025-10-09,UTA,COL,1,2,3,False,,,,,,,,False,,
2025-10-09,MTL,DET,5,1,6,False,,,,,,,,False,,
2025-10-09,PHI,FLA,1,2,3,False,,,,,,,,False,,
2025-10-09,CBJ,NSH,1,2,3,False,,,,,,,,False,,
2025-10-09,NYI,PIT,3,4,7,False,,,,,,,,False,,
2025-10-09,ANA,SEA,1,3,4,False,,,,,,,,False,,
2025-10-09,VGK,SJS,4,3,7,False,,,,,,,,False,,
2025-10-09,MIN,STL,5,0,5,False,,,,,,,,False,,
2025-10-09,OTT,TBL,5,4,9,False,,,,,,,,False,,
2025-10-09,CGY,VAN,1,5,6,False,,,,,,,,False,,
2025-10-09,DAL,WPG,5,4,9,False,,,,,,,,False,,
2025-10-11,BUF,BOS,1,3,4,False,,,,,,,,False,,
2025-10-11,PHI,CAR,3,4,7,False,,,,,,,,False,,
2025-10-11,STL,CGY,4,2,6,False,,,,,,,,False,,
2025-10-11,MTL,CHI,3,2,5,False,,,,,,,,False,,
2025-10-11,DAL,COL,5,4,9,False,,,,,,,,False,,
2025-10-11,TOR,DET,3,6,9,False,,,,,,,,False,,
2025-10-11,VAN,EDM,1,3,4,False,,,,,,,,False,,
2025-10-11,OTT,FLA,2,6,8,False,,,,,,,,False,,
2025-10-11,CBJ,MIN,7,4,11,False,,,,,,,,False,,
2025-10-11,UTA,NSH,3,2,5,False,,,,,,,,False,,
2025-10-11,WSH,NYI,4,2,6,False,,,,,,,,False,,
2025-10-11,NYR,PIT,6,1,7,False,,,,,,,,False,,
2025-10-11,VGK,SEA,1,2,3,False,,,,,,,,False,,
2025-10-11,ANA,SJS,7,6,13,False,,,,,,,,False,,
2025-10-11,NJD,TBL,5,3,8,False,,,,,,,,False,,
2025-10-11,LAK,WPG,2,3,5,False,,,,,,,,False,,
2025-10-12,WSH,NYR,1,0,1,False,,,,,,,,False,,
2025-10-13,TBL,BOS,4,3,7,False,,,,,,,,False,,
2025-10-13,COL,BUF,3,1,4,False,,,,,,,,False,,
2025-10-13,NJD,CBJ,3,2,5,False,,,,,,,,False,,
2025-10-13,UTA,CHI,1,3,4,False,,,,,,,,False,,
2025-10-13,LAK,MIN,3,4,7,False,,,,,,,,False,,
2025-10-13,WPG,NYI,5,2,7,False,,,,,,,,False,,
2025-10-13,NSH,OTT,4,1,5,False,,,,,,,,False,,
2025-10-13,FLA,PHI,2,5,7,False,,,,,,,,False,,
2025-10-13,DET,TOR,3,2,5,False,,,,,,,,False,,
2025-10-13,STL,VAN,5,2,7,False,,,,,,,,False,,
2025-10-14,PIT,ANA,3,4,7,False,,,,,,,,False,,
2025-10-14,VGK,CGY,4,2,6,False,,,,,,,,False,,
2025-10-14,MIN,DAL,2,5,7,False,,,,,,,,False,,
2025-10-14,SEA,MTL,4,5,9,False,,,,,,,,False,,
2025-10-14,EDM,NYR,2,0,2,False,,,,,,,,False,,
2025-10-14,CAR,SJS,5,1,6,False,,,,,,,,False,,
