Date,Away,Away_Abbr,Home,Home_Abbr,Away_G,Home_G,Total,Eligible,Lambda,Line,Over_Odds,Under_Odds,P_Over,P_Under,Lean,Actual_Result,Graded,Hit,Profit
2024-10-04,New Jersey Devils,NJD,Buffalo Sabres,BUF,4,1,5,False,,,,,,,,,False,,
2024-10-05,Buffalo Sabres,BUF,New Jersey Devils,NJD,1,3,4,False,,,,,,,,,False,,
2024-10-08,Boston Bruins,BOS,Florida Panthers,FLA,4,6,10,False,,,,,,,,,False,,
2024-10-08,St. Louis Blues,STL,Seattle Kraken,SEA,3,2,5,False,,,,,,,,,False,,
2024-10-08,Chicago Blackhawks,CHI,Utah Hockey Club,UTA,2,5,7,False,,,,,,,,,False,,
2024-10-09,Winnipeg Jets,WPG,Edmonton Oilers,EDM,6,0,6,False,,,,,,,,,False,,
2024-10-09,Toronto Maple Leafs,TOR,Montreal Canadiens,MTL,0,1,1,False,,,,,,,,,False,,
2024-10-09,New York Rangers,NYR,Pittsburgh Penguins,PIT,6,0,6,False,,,,,,,,,False,,
2024-10-09,Calgary Flames,CGY,Vancouver Canucks,VAN,6,5,11,False,,,,,,,,,False,,
2024-10-09,Colorado Avalanche,COL,Vegas Golden Knights,VGK,4,8,12,False,,,,,,,,,False,,
2024-10-10,Montreal Canadiens,MTL,Boston Bruins,BOS,4,6,10,False,,,,,,,,,False,,
2024-10-10,Los Angeles Kings,LAK,Buffalo Sabres,BUF,3,1,4,False,,,,,,,,,False,,
2024-10-10,Pittsburgh Penguins,PIT,Detroit Red Wings,DET,6,3,9,False,,,,,,,,,False,,
2024-10-10,Columbus Blue Jackets,CBJ,Minnesota Wild,MIN,2,3,5,False,,,,,,,,,False,,
2024-10-10,Toronto Maple Leafs,TOR,New Jersey Devils,NJD,4,2,6,False,,,,,,,,,False,,
2024-10-10,Dallas Stars,DAL,Nashville Predators,NSH,4,3,7,False,,,,,,,,,False,,
2024-10-10,Utah Hockey Club,UTA,New York Islanders,NYI,5,4,9,False,,,,,,,,,False,,
2024-10-10,Florida Panthers,FLA,Ottawa Senators,OTT,1,3,4,False,,,,,,,,,False,,
2024-10-10,St. Louis Blues,STL,San Jose Sharks,SJS,5,4,9,False,,,,,,,,,False,,
2024-10-11,Tampa Bay Lightning,TBL,Carolina Hurricanes,CAR,4,1,5,False,,,,,,,,,False,,
2024-10-11,Philadelphia Flyers,PHI,Vancouver Canucks,VAN,3,2,5,False,,,,,,,,,False,,
2024-10-11,St. Louis Blues,STL,Vegas Golden Knights,VGK,3,4,7,False,,,,,,,,,False,,
2024-10-11,Chicago Blackhawks,CHI,Winnipeg Jets,WPG,1,2,3,False,,,,,,,,,False,,
2024-10-12,Los Angeles Kings,LAK,Boston Bruins,BOS,1,2,3,False,,,,,,,,,False,,
2024-10-12,Florida Panthers,FLA,Buffalo Sabres,BUF,2,5,7,False,,,,,,,,,False,,
2024-10-12,Philadelphia Flyers,PHI,Calgary Flames,CGY,3,6,9,False,,,,,,,,,False,,
2024-10-12,Columbus Blue Jackets,CBJ,Colorado Avalanche,COL,6,4,10,False,,,,,,,,,False,,
2024-10-12,New York Islanders,NYI,Dallas Stars,DAL,0,3,3,False,,,,,,,,,False,,
2024-10-12,Nashville Predators,NSH,Detroit Red Wings,DET,0,3,3,False,,,,,,,,,False,,
2024-10-12,Chicago Blackhawks,CHI,Edmonton Oilers,EDM,5,2,7,False,,,,,,,,,False,,
2024-10-12,Seattle Kraken,SEA,Minnesota Wild,MIN,5,4,9,False,,,,,,,,,False,,
2024-10-12,Ottawa Senators,OTT,Montreal Canadiens,MTL,1,4,5,False,,,,,,,,,False,,
2024-10-12,Utah Hockey Club,UTA,New York Rangers,NYR,6,5,11,False,,,,,,,,,False,,
2024-10-12,Anaheim Ducks,ANA,San Jose Sharks,SJS,2,0,2,False,,,,,,,,,False,,
2024-10-12,Pittsburgh Penguins,PIT,Toronto Maple Leafs,TOR,2,4,6,False,,,,,,,,,False,,
2024-10-12,New Jersey Devils,NJD,Washington Capitals,WSH,5,3,8,False,,,,,,,,,False,,
2024-10-13,Seattle Kraken,SEA,Dallas Stars,DAL,0,2,2,False,,,,,,,,,False,,
2024-10-13,Calgary Flames,CGY,Edmonton Oilers,EDM,4,1,5,False,,,,,,,,,False,,
2024-10-13,Anaheim Ducks,ANA,Vegas Golden Knights,VGK,1,3,4,False,,,,,,,,,False,,
2024-10-13,Minnesota Wild,MIN,Winnipeg Jets,WPG,1,2,3,False,,,,,,,,,False,,
2024-10-14,Florida Panthers,FLA,Boston Bruins,BOS,4,3,7,False,,,,,,,,,False,,
2024-10-14,New York Islanders,NYI,Colorado Avalanche,COL,6,2,8,False,,,,,,,,,False,,
2024-10-14,Pittsburgh Penguins,PIT,Montreal Canadiens,MTL,6,3,9,False,,,,,,,,,False,,
2024-10-14,Utah Hockey Club,UTA,New Jersey Devils,NJD,0,3,3,False,,,,,,,,,False,,
2024-10-14,Detroit Red Wings,DET,New York Rangers,NYR,1,4,5,False,,,,,,,,,False,,
2024-10-14,Los Angeles Kings,LAK,Ottawa Senators,OTT,7,8,15,False,,,,,,,,,False,,
2024-10-15,New Jersey Devils,NJD,Carolina Hurricanes,CAR,2,4,6,False,,,,,,,,,False,,
2024-10-15,Florida Panthers,FLA,Columbus Blue Jackets,CBJ,4,3,7,False,,,,,,,,,False,,
2024-10-15,Chicago Blackhawks,CHI,Calgary Flames,CGY,1,3,4,False,,,,,,,,,False,,
2024-10-15,San Jose Sharks,SJS,Dallas Stars,DAL,2,3,5,False,,,,,,,,,False,,
2024-10-15,Philadelphia Flyers,PHI,Edmonton Oilers,EDM,3,4,7,False,,,,,,,,,False,,
2024-10-15,Seattle Kraken,SEA,Nashville Predators,NSH,7,3,10,False,,,,,,,,,False,,
2024-10-15,Minnesota Wild,MIN,St. Louis Blues,STL,4,1,5,False,,,,,,,,,False,,
2024-10-15,Vancouver Canucks,VAN,Tampa Bay Lightning,TBL,1,4,5,False,,,,,,,,,False,,
2024-10-15,Vegas Golden Knights,VGK,Washington Capitals,WSH,2,4,6,False,,,,,,,,,False,,
2024-10-16,Utah Hockey Club,UTA,Anaheim Ducks,ANA,4,5,9,False,,,,,,,,,False,,
2024-10-16,Boston Bruins,BOS,Colorado Avalanche,COL,5,3,8,False,,,,,,,,,False,,
2024-10-16,Buffalo Sabres,BUF,Pittsburgh Penguins,PIT,5,6,11,False,,,,,,,,,False,,
2024-10-16,Los Angeles Kings,LAK,Toronto Maple Leafs,TOR,2,6,8,False,,,,,,,,,False,,
2024-10-17,Buffalo Sabres,BUF,Columbus Blue Jackets,CBJ,4,6,10,False,,,,,,,,,False,,
2024-10-17,San Jose Sharks,SJS,Chicago Blackhawks,CHI,2,4,6,False,,,,,,,,,False,,
2024-10-17,New York Rangers,NYR,Detroit Red Wings,DET,5,2,7,False,,,,,,,,,False,,
2024-10-17,Vancouver Canucks,VAN,Florida Panthers,FLA,3,2,5,False,,,,,,,,,False,,
2024-10-17,Los Angeles Kings,LAK,Montreal Canadiens,MTL,4,1,5,False,,,,,,,,,False,,
2024-10-17,Edmonton Oilers,EDM,Nashville Predators,NSH,4,2,6,False,,,,,,,,,False,,
2024-10-17,New Jersey Devils,NJD,Ottawa Senators,OTT,3,1,4,False,,,,,,,,,False,,
2024-10-17,Philadelphia Flyers,PHI,Seattle Kraken,SEA,4,6,10,False,,,,,,,,,False,,
2024-10-17,New York Islanders,NYI,St. Louis Blues,STL,0,1,1,False,,,,,,,,,False,,
2024-10-17,Vegas Golden Knights,VGK,Tampa Bay Lightning,TBL,3,4,7,False,,,,,,,,,False,,
2024-10-17,Dallas Stars,DAL,Washington Capitals,WSH,2,3,5,False,,,,,,,,,False,,
2024-10-18,Anaheim Ducks,ANA,Colorado Avalanche,COL,3,4,7,False,,,,,,,,,False,,
2024-10-18,Carolina Hurricanes,CAR,Pittsburgh Penguins,PIT,4,1,5,False,,,,,,,,,False,,
2024-10-18,San Jose Sharks,SJS,Winnipeg Jets,WPG,3,8,11,False,,,,,,,,,False,,
2024-10-19,Minnesota Wild,MIN,Columbus Blue Jackets,CBJ,3,1,4,False,,,,,,,,,False,,
2024-10-19,Buffalo Sabres,BUF,Chicago Blackhawks,CHI,4,2,6,False,,,,,,,,,False,,
2024-10-19,Edmonton Oilers,EDM,Dallas Stars,DAL,1,4,5,False,,,,,,,,,False,,
2024-10-19,Vegas Golden Knights,VGK,Florida Panthers,FLA,3,4,7,False,,,,,,,,,False,,
